"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,560.268432617188,366.480651855469,566.760498046875,347.370025634766,572.710815429688,320.210876464844,388.498413085938,337.267364501953,NA
2,560.271789550781,366.431427001953,566.780029296875,347.356628417969,572.690063476562,320.207946777344,388.501220703125,337.262573242188,NA
3,557.526428222656,372.821838378906,563.51953125,353.280395507812,569.796325683594,329.72216796875,387.914916992188,343.035339355469,NA
4,555.347595214844,374.995239257812,562.476623535156,355.654022216797,570.060119628906,330.550323486328,387.811737060547,347.151031494141,NA
5,554.150390625,377.611328125,561.595336914062,360.781219482422,568.330993652344,337.321411132812,388.320434570312,350.816711425781,NA
6,554.293823242188,377.576232910156,561.568664550781,360.678833007812,568.320434570312,337.299743652344,388.386199951172,350.824584960938,NA
7,551.196594238281,378.192413330078,562.875366210938,364.820953369141,566.601745605469,342.12060546875,388.490447998047,352.557861328125,NA
8,549.163208007812,378.141998291016,563.948608398438,367.349487304688,569.286804199219,345.626007080078,388.698425292969,355.752319335938,NA
9,549.51611328125,380.444610595703,562.675842285156,367.988037109375,570.746887207031,347.515563964844,388.487396240234,358.037689208984,NA
10,548.132019042969,383.789337158203,560.390319824219,371.540252685547,571.978942871094,352.360137939453,389.072387695312,360.782440185547,NA
11,547.410339355469,385.791534423828,560.393676757812,373.068267822266,572.026672363281,352.488494873047,389.588134765625,363.135375976562,NA
12,546.061096191406,388.006530761719,558.988708496094,375.712707519531,572.468200683594,357.295074462891,389.653289794922,365.016937255859,NA
13,545.458984375,390.723022460938,558.873962402344,377.392059326172,573.450500488281,357.687072753906,389.947967529297,366.188507080078,NA
14,546.40625,391.768096923828,559.339111328125,378.454254150391,573.635192871094,357.503173828125,389.926513671875,367.062469482422,NA
15,547.277221679688,392.610473632812,560.561279296875,381.10986328125,572.788146972656,361.139129638672,388.901275634766,368.334106445312,NA
16,548.367431640625,388.656005859375,566.791320800781,381.814636230469,572.836242675781,359.708587646484,389.380798339844,369.661529541016,NA
17,555.964172363281,388.699066162109,565.056701660156,386.977905273438,570.615783691406,374.725280761719,390.917083740234,370.345336914062,NA
18,555.975463867188,388.792510986328,565.022644042969,387.015411376953,570.5478515625,374.807342529297,390.906311035156,370.310577392578,NA
19,555.326354980469,367.848846435547,558.103942871094,384.872589111328,577.89208984375,392.564147949219,390.821838378906,368.759399414062,NA
20,556.88037109375,361.830413818359,558.35546875,380.381774902344,575.710632324219,396.384185791016,390.865844726562,367.176818847656,NA
21,554.883239746094,354.095794677734,558.060852050781,375.052947998047,570.765930175781,397.927551269531,391.671020507812,363.689697265625,NA
22,553.585510253906,349.974426269531,559.291564941406,369.382995605469,567.442443847656,394.492095947266,391.590270996094,361.547210693359,NA
23,552.013854980469,344.83544921875,557.751403808594,364.360137939453,566.212829589844,390.122283935547,393.462677001953,357.418090820312,NA
24,551.660583496094,343.114654541016,557.751770019531,362.798095703125,566.94140625,389.790222167969,394.100708007812,354.129180908203,NA
25,550.321166992188,340.086791992188,557.215576171875,359.628265380859,565.158752441406,385.462280273438,394.662261962891,350.606567382812,NA
