"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,609.176818847656,359.320159912109,585.477844238281,347.676239013672,561.798461914062,339.368499755859,823.552062988281,338.404296875,"IM"
2,609.158142089844,359.332122802734,585.474975585938,347.610046386719,561.759033203125,339.361236572266,823.529602050781,338.397216796875,"IM"
3,609.80712890625,358.798065185547,585.814880371094,347.416748046875,561.27392578125,339.122985839844,823.407653808594,338.275756835938,"IM"
4,609.716796875,359.924377441406,586.566101074219,347.9775390625,561.785766601562,339.27685546875,823.107238769531,338.892791748047,"IM"
5,609.789428710938,359.965148925781,586.432739257812,348.038604736328,561.908447265625,339.348999023438,823.11767578125,338.898956298828,"IM"
6,609.763305664062,359.957550048828,586.674926757812,347.902221679688,562.209777832031,339.437683105469,823.122924804688,338.471984863281,"IM"
7,609.608947753906,359.800842285156,586.330749511719,347.679504394531,561.854187011719,339.266693115234,823.293273925781,338.4658203125,"IM"
8,609.609802246094,359.801879882812,586.333862304688,347.680145263672,561.860229492188,339.268493652344,823.246643066406,338.772521972656,"IM"
9,609.608215332031,359.802276611328,586.334228515625,347.681274414062,561.859130859375,339.267608642578,822.989929199219,338.697570800781,"IM"
10,609.451721191406,359.609985351562,586.530883789062,347.685607910156,561.916137695312,339.318725585938,823.029479980469,338.877349853516,"IM"
11,609.798706054688,359.717834472656,586.6201171875,347.699157714844,561.979248046875,339.333587646484,823.051391601562,338.883270263672,"IM"
12,609.70458984375,359.752807617188,586.478393554688,347.588226318359,561.952026367188,339.405609130859,823.141479492188,338.429016113281,"IM"
13,610.209045410156,359.622863769531,586.917907714844,347.776916503906,562.137573242188,339.114501953125,823.136962890625,338.434112548828,"IM"
14,610.208312988281,359.620819091797,586.915283203125,347.768402099609,562.078430175781,339.109039306641,823.143737792969,338.431884765625,"IM"
15,609.46435546875,359.465026855469,586.368041992188,347.437316894531,561.785583496094,339.002960205078,823.135681152344,338.432067871094,"IM"
16,609.463562011719,359.465148925781,586.366821289062,347.437225341797,561.786560058594,339.003143310547,823.140441894531,338.423095703125,"IM"
17,609.984008789062,359.637756347656,586.59912109375,347.634094238281,561.95166015625,339.049072265625,823.117309570312,338.409973144531,"IM"
18,610.010375976562,359.640075683594,586.518249511719,347.626190185547,561.891418457031,339.005767822266,823.138732910156,338.409271240234,"IM"
19,610.173278808594,359.497192382812,586.551513671875,347.520233154297,561.751342773438,338.980926513672,823.13623046875,338.408538818359,"IM"
20,609.821716308594,359.531341552734,586.326293945312,347.509216308594,561.730163574219,338.965026855469,823.008117675781,338.481201171875,"IM"
21,609.747680664062,359.632415771484,586.686584472656,347.417236328125,561.739501953125,339.053497314453,822.931640625,338.785675048828,"IM"
22,609.758728027344,359.478057861328,586.451477050781,347.382293701172,561.762268066406,339.016326904297,822.928527832031,338.784149169922,"IM"
23,610.082641601562,359.673461914062,586.726806640625,347.590606689453,561.875427246094,339.061828613281,822.927978515625,338.77001953125,"IM"
24,609.820739746094,359.731353759766,586.613098144531,347.482574462891,561.800109863281,339.024963378906,822.936096191406,338.783447265625,"IM"
25,609.908996582031,359.445251464844,586.539978027344,347.510559082031,561.821533203125,339.0537109375,822.956115722656,338.762817382812,"IM"
26,609.999755859375,359.653289794922,586.369079589844,347.652191162109,561.549011230469,338.920043945312,822.766052246094,338.688995361328,"IM"
27,610.331359863281,359.283782958984,586.553588867188,347.660522460938,561.688903808594,339.065765380859,822.830993652344,338.558990478516,"IM"
28,610.294738769531,359.502532958984,586.495300292969,347.803802490234,561.574157714844,339.021514892578,822.8291015625,338.561004638672,"IM"
29,610.254821777344,359.334564208984,586.1298828125,347.518859863281,561.728454589844,338.996826171875,822.833557128906,338.559509277344,"IM"
30,610.539672851562,359.626556396484,587.239074707031,347.954833984375,562.41552734375,339.212554931641,822.689086914062,338.806549072266,"IM"
31,610.527954101562,359.556915283203,587.338500976562,347.862060546875,562.306762695312,339.358184814453,822.679443359375,338.774871826172,"IM"
32,610.548278808594,359.641143798828,587.383239746094,347.971221923828,562.362976074219,339.433746337891,822.672973632812,338.743591308594,"IM"
33,610.296813964844,359.420867919922,586.679748535156,347.683471679688,561.610290527344,338.970336914062,822.836608886719,339.027893066406,"IM"
34,610.190368652344,359.375396728516,586.641906738281,347.562103271484,561.745056152344,339.267059326172,822.839599609375,339.03662109375,"IM"
35,610.235656738281,359.207305908203,586.760009765625,347.415832519531,561.724792480469,339.294250488281,822.776428222656,338.986450195312,"IM"
36,610.226257324219,359.240051269531,586.797241210938,347.761962890625,561.830505371094,339.295288085938,822.770080566406,338.99658203125,"IM"
37,610.678588867188,359.325531005859,586.966735839844,347.927795410156,561.88134765625,339.333953857422,822.760864257812,339.000152587891,"IM"
38,610.679138183594,359.325988769531,586.970031738281,347.932495117188,561.899475097656,339.342803955078,822.749450683594,338.99951171875,"IM"
39,610.619567871094,359.294555664062,587.089660644531,347.735260009766,561.237060546875,339.207794189453,822.759460449219,338.985931396484,"IM"
40,610.583435058594,359.064758300781,586.987731933594,347.639556884766,561.232116699219,339.220947265625,822.782104492188,338.731353759766,"IM"
41,610.581420898438,359.064422607422,586.983703613281,347.63525390625,561.212890625,339.213195800781,822.847351074219,338.493103027344,"IM"
42,610.47998046875,359.001831054688,586.879150390625,347.576965332031,561.170532226562,339.194183349609,822.842163085938,338.502899169922,"IM"
43,610.481506347656,359.002105712891,586.883361816406,347.579803466797,561.182678222656,339.198883056641,822.893432617188,338.484985351562,"IM"
44,610.693481445312,359.175109863281,587.063659667969,347.728179931641,561.258178710938,339.227203369141,822.903137207031,338.485778808594,"IM"
45,610.436096191406,359.066436767578,587.009460449219,347.819549560547,561.618041992188,339.366180419922,822.909057617188,338.487426757812,"IM"
46,610.417785644531,359.408996582031,587.0322265625,347.765777587891,561.572082519531,339.339935302734,822.902160644531,338.504302978516,"IM"
47,610.460144042969,359.412902832031,586.975646972656,348.041900634766,561.684753417969,339.375610351562,822.895446777344,338.500823974609,"IM"
48,610.460266113281,359.413177490234,586.975463867188,348.042144775391,561.675842285156,339.371795654297,822.903137207031,338.498565673828,"IM"
49,610.460388183594,359.413482666016,586.975402832031,348.042297363281,561.676635742188,339.372131347656,822.618103027344,338.594268798828,"IM"
50,610.897277832031,358.964202880859,587.182006835938,348.012634277344,561.7939453125,339.416137695312,822.617248535156,338.611938476562,"IM"
51,610.896240234375,358.963989257812,587.180725097656,348.012573242188,561.785522460938,339.413787841797,822.624389648438,338.604095458984,"IM"
52,610.931701660156,358.910034179688,586.80078125,348.046752929688,561.113159179688,339.201934814453,822.61767578125,338.618286132812,"IM"
53,610.810424804688,358.892700195312,586.790954589844,347.980895996094,561.079711914062,339.174987792969,822.606750488281,338.622680664062,"IM"
54,610.809265136719,358.892547607422,586.790588378906,347.980529785156,561.075988769531,339.174255371094,822.624633789062,338.616912841797,"IM"
55,610.806945800781,358.820465087891,586.726135253906,347.922882080078,561.098327636719,339.172546386719,822.772033691406,338.74072265625,"IM"
56,611.054870605469,358.890594482422,586.961608886719,348.174468994141,561.408996582031,339.216644287109,822.783813476562,338.773620605469,"IM"
57,611.184692382812,358.788024902344,586.962219238281,348.178009033203,561.369140625,339.241119384766,822.760864257812,338.745819091797,"IM"
58,611.250854492188,358.722381591797,586.812316894531,348.077087402344,561.260070800781,339.206329345703,822.564880371094,338.765441894531,"IM"
59,611.216796875,358.708160400391,586.481567382812,348.06591796875,561.089904785156,339.111572265625,822.517333984375,338.734008789062,"IM"
60,610.794189453125,358.56494140625,587.033325195312,348.121765136719,561.14208984375,339.524658203125,822.917724609375,338.723052978516,"IM"
61,611.081481933594,358.783477783203,587.189147949219,348.224517822266,560.963806152344,339.725158691406,822.813842773438,338.797607421875,"IM"
62,611.04833984375,358.857879638672,587.140808105469,348.165802001953,560.975830078125,339.728637695312,822.695617675781,338.685699462891,"IM"
63,610.994079589844,358.899597167969,587.104858398438,348.19921875,561.113037109375,339.780975341797,822.752258300781,338.686492919922,"IM"
64,611.275329589844,358.857666015625,587.162719726562,348.246978759766,561.006103515625,339.822845458984,822.659851074219,338.773651123047,"IM"
65,611.054870605469,358.787963867188,586.743774414062,348.237884521484,561.310974121094,339.715850830078,822.677124023438,338.771392822266,"IM"
66,610.981079101562,358.810394287109,586.652526855469,348.214874267578,561.140869140625,339.674713134766,822.620727539062,338.784515380859,"IM"
67,611.050048828125,358.879455566406,586.59375,348.336334228516,561.13525390625,339.630249023438,822.612915039062,338.490875244141,"IM"
68,611.206359863281,358.988464355469,587.060546875,348.420806884766,561.203308105469,339.710845947266,822.609924316406,338.444763183594,"IM"
69,610.896911621094,358.852722167969,586.713073730469,348.418884277344,561.439086914062,339.714477539062,822.626220703125,338.46142578125,"IM"
70,611.208435058594,358.907531738281,586.781677246094,348.534515380859,561.494140625,339.756652832031,822.715393066406,338.487274169922,"IM"
71,611.336181640625,358.818359375,586.888854980469,348.565032958984,561.560119628906,339.763946533203,822.720581054688,338.4599609375,"IM"
72,611.306274414062,358.769866943359,586.87353515625,348.476898193359,561.030700683594,339.845001220703,822.701721191406,338.731994628906,"IM"
73,611.095031738281,358.911560058594,586.906066894531,348.33642578125,560.89453125,339.827758789062,822.696105957031,338.718841552734,"IM"
74,611.265930175781,358.882019042969,587.0869140625,348.399536132812,560.972839355469,339.846405029297,822.911682128906,338.640472412109,"IM"
75,611.277893066406,358.895843505859,587.091918945312,348.421997070312,561.025146484375,339.849761962891,822.886779785156,338.521240234375,"IM"
76,611.277099609375,358.856903076172,587.049377441406,348.468841552734,560.846862792969,339.85791015625,822.907287597656,338.529724121094,"IM"
77,611.274353027344,358.851867675781,587.096435546875,348.299377441406,561.044555664062,339.844970703125,822.793151855469,338.606170654297,"IM"
78,611.222534179688,358.861236572266,586.962524414062,348.367553710938,562.6875,339.968688964844,822.783325195312,338.602996826172,"IM"
79,611.215209960938,358.840759277344,586.989990234375,348.393676757812,562.662048339844,339.961822509766,822.878173828125,338.456878662109,"IM"
80,611.240234375,358.842346191406,586.992065429688,348.402923583984,562.654846191406,339.962829589844,822.880676269531,338.457366943359,"IM"
81,611.134643554688,358.696136474609,586.881225585938,348.4423828125,562.415283203125,339.953247070312,822.906372070312,338.712585449219,"IM"
82,610.929992675781,358.600250244141,586.969482421875,348.626831054688,562.633483886719,340.064178466797,822.74755859375,338.874786376953,"IM"
83,610.931945800781,358.597473144531,586.976501464844,348.626892089844,562.628173828125,340.063018798828,822.745483398438,338.84765625,"IM"
84,610.9384765625,358.600616455078,586.995544433594,348.627655029297,562.644470214844,340.068359375,822.740600585938,338.862030029297,"IM"
85,611.000549316406,358.4716796875,586.984191894531,348.556213378906,562.675476074219,340.090240478516,822.809509277344,338.632232666016,"IM"
86,610.974670410156,358.502746582031,586.993957519531,348.576141357422,562.641174316406,340.071136474609,822.825134277344,338.587341308594,"IM"
87,610.950866699219,358.504669189453,586.9873046875,348.581085205078,562.619018554688,340.068237304688,822.713073730469,338.781829833984,"IM"
88,611.214172363281,358.557067871094,587.084289550781,348.630249023438,562.640930175781,340.112579345703,822.710083007812,338.805358886719,"IM"
89,611.244934082031,358.621063232422,586.975158691406,348.431579589844,562.447692871094,340.004089355469,822.718627929688,338.779541015625,"IM"
90,611.644836425781,358.506256103516,586.648193359375,348.440246582031,562.421997070312,340.153991699219,822.662536621094,338.843994140625,"IM"
91,611.925720214844,358.224853515625,586.721435546875,348.252471923828,560.707824707031,339.7490234375,822.786682128906,338.587432861328,"IM"
92,611.803771972656,358.325775146484,586.34619140625,348.365478515625,560.673583984375,339.753295898438,822.604125976562,338.863708496094,"IM"
93,611.893493652344,358.280883789062,586.545227050781,348.327819824219,560.761779785156,339.8046875,822.653442382812,338.658325195312,"IM"
94,611.285461425781,358.720153808594,586.461059570312,348.269683837891,560.686828613281,339.767486572266,822.7255859375,338.613830566406,"IM"
95,611.869995117188,358.660430908203,586.507690429688,348.358642578125,560.713684082031,339.760437011719,822.743774414062,338.604705810547,"IM"
96,611.829040527344,358.506469726562,586.617736816406,348.214019775391,561.017639160156,339.785858154297,822.620788574219,338.701965332031,"IM"
97,611.694946289062,358.506591796875,586.769714355469,348.220275878906,561.05615234375,339.797546386719,822.631896972656,338.675384521484,"IM"
98,611.601745605469,358.582733154297,586.394775390625,348.242034912109,560.762939453125,339.761138916016,822.759094238281,338.462219238281,"IM"
99,611.721618652344,358.320434570312,586.151672363281,348.208557128906,560.685852050781,339.748046875,822.788635253906,338.4599609375,"IM"
100,611.80810546875,358.310882568359,586.381469726562,348.289581298828,560.834594726562,339.792999267578,822.826477050781,338.569885253906,"IM"
101,611.975830078125,358.207580566406,586.241271972656,348.225402832031,560.7548828125,339.738250732422,822.645324707031,338.642913818359,"IM"
102,611.514221191406,358.183441162109,586.329650878906,348.332214355469,561.01708984375,339.880798339844,822.593139648438,338.816833496094,"IM"
103,611.602233886719,358.233062744141,586.3740234375,348.261962890625,560.965637207031,339.803894042969,822.64306640625,338.679077148438,"IM"
104,611.566955566406,358.303833007812,586.359802246094,348.413970947266,560.822082519531,339.807983398438,822.451721191406,338.990051269531,"IM"
105,611.535949707031,358.375610351562,586.403076171875,348.383148193359,560.73681640625,339.816192626953,822.463256835938,338.984802246094,"IM"
106,611.525024414062,358.328826904297,586.547058105469,348.562225341797,561.016845703125,339.957580566406,822.724243164062,338.883758544922,"IM"
107,611.518798828125,358.329772949219,586.532592773438,348.565399169922,561.021362304688,339.955261230469,822.833557128906,338.819396972656,"IM"
108,611.518493652344,358.329864501953,586.531433105469,348.564971923828,561.023681640625,339.955261230469,822.821044921875,338.811737060547,"IM"
109,611.518615722656,358.325927734375,586.531677246094,348.565490722656,561.026062011719,339.956665039062,822.682373046875,338.757659912109,"IM"
110,611.518432617188,358.326263427734,586.531127929688,348.564788818359,561.026306152344,339.956909179688,822.594299316406,338.680328369141,"IM"
111,611.312622070312,358.480743408203,586.361145019531,348.465148925781,560.846130371094,339.861938476562,822.586242675781,338.712951660156,"IM"
112,611.3134765625,358.48095703125,586.361511230469,348.464263916016,560.849792480469,339.861663818359,822.584106445312,338.704376220703,"IM"
113,611.310852050781,358.483520507812,586.361450195312,348.460266113281,560.848266601562,339.862457275391,822.68505859375,338.583709716797,"IM"
114,611.310668945312,358.482788085938,586.360717773438,348.461273193359,560.846862792969,339.860626220703,822.688842773438,338.589630126953,"IM"
115,611.416870117188,358.597869873047,586.481384277344,348.403930664062,560.804565429688,339.818298339844,822.795349121094,338.73876953125,"IM"
116,611.419860839844,358.605072021484,586.547058105469,348.377777099609,560.879455566406,339.830230712891,822.778442382812,338.756439208984,"IM"
117,611.418640136719,358.604919433594,586.550170898438,348.384155273438,560.89892578125,339.847717285156,822.7958984375,338.747009277344,"IM"
118,611.584716796875,358.334411621094,586.496459960938,348.355682373047,560.9599609375,339.908111572266,822.78466796875,338.747924804688,"IM"
119,611.450805664062,358.514587402344,586.272216796875,348.411499023438,560.857299804688,339.840728759766,822.782165527344,338.747161865234,"IM"
120,611.573913574219,358.205322265625,586.76025390625,348.229339599609,562.0712890625,339.986633300781,822.651306152344,339.091918945312,"IM"
121,611.309143066406,358.271057128906,586.648132324219,348.193450927734,561.912414550781,339.877075195312,822.690734863281,339.123107910156,"IM"
122,611.509704589844,358.106781005859,586.676513671875,348.134704589844,561.870727539062,339.885345458984,822.669799804688,339.188293457031,"IM"
123,611.249572753906,358.196929931641,586.7158203125,348.133392333984,561.870971679688,339.850830078125,822.611328125,339.038330078125,"IM"
124,611.468933105469,358.052764892578,586.884643554688,348.168121337891,562.295593261719,339.905395507812,822.588134765625,338.938690185547,"IM"
125,611.489318847656,358.241088867188,586.613708496094,348.300384521484,561.564331054688,340.159149169922,822.585571289062,338.919830322266,"IM"
