"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,549.949584960938,302.316925048828,564.791442871094,321.461791992188,576.824096679688,351.574615478516,440.959503173828,322.471527099609,NA
2,551.660522460938,298.376403808594,564.231872558594,315.049011230469,579.916015625,337.085784912109,439.517730712891,314.996704101562,NA
3,553.187561035156,287.386505126953,562.538879394531,310.799163818359,581.824523925781,337.082214355469,437.211029052734,308.804779052734,NA
4,550.036499023438,268.241271972656,560.323547363281,290.177154541016,568.611145019531,319.023071289062,433.413848876953,294.307830810547,NA
5,550.252807617188,258.636383056641,556.291320800781,283.455871582031,567.721496582031,311.064300537109,433.042510986328,288.614654541016,NA
6,550.411376953125,253.305999755859,556.892822265625,278.102966308594,566.132629394531,305.878265380859,431.802001953125,281.935638427734,NA
7,550.407592773438,253.292144775391,556.919250488281,278.159240722656,566.165710449219,305.903015136719,431.804748535156,281.985656738281,NA
8,550.071105957031,245.356582641602,555.304443359375,270.427581787109,563.206604003906,301.516845703125,431.748687744141,276.361175537109,NA
9,550.434387207031,239.143798828125,554.420959472656,264.100036621094,561.1748046875,294.950286865234,432.029357910156,271.934631347656,NA
10,549.649841308594,233.493255615234,555.456115722656,258.545104980469,560.419250488281,288.726806640625,431.470886230469,268.25341796875,NA
11,549.897155761719,227.51872253418,555.150085449219,252.824951171875,561.308471679688,285.398193359375,431.605255126953,262.892425537109,NA
12,549.815979003906,223.413619995117,555.453247070312,248.799819946289,561.905212402344,280.756134033203,432.468383789062,259.606292724609,NA
13,550.279846191406,221.090957641602,557.178466796875,246.124649047852,561.845703125,275.86279296875,433.20458984375,255.505233764648,NA
14,550.26904296875,216.429321289062,555.923828125,240.529220581055,562.328918457031,270.628265380859,433.482452392578,250.836441040039,NA
15,549.0498046875,209.146850585938,555.418395996094,233.63166809082,561.624084472656,265.311096191406,433.621948242188,247.284027099609,NA
16,550.77197265625,205.615829467773,559.061767578125,229.018417358398,559.883178710938,262.157257080078,435.513610839844,242.570251464844,NA
17,551.119689941406,201.092895507812,558.10888671875,225.799240112305,562.846923828125,256.561462402344,436.668151855469,239.938766479492,NA
18,552.959838867188,196.269897460938,556.321350097656,222.782989501953,563.746643066406,251.521362304688,437.169830322266,235.784240722656,NA
19,552.970703125,196.30158996582,556.312255859375,222.675735473633,563.757568359375,251.413391113281,437.192321777344,235.887573242188,NA
20,550.43310546875,191.154739379883,559.466247558594,215.049575805664,559.656799316406,246.492401123047,437.392883300781,230.001358032227,NA
21,550.416809082031,188.516159057617,560.68701171875,208.623901367188,563.0732421875,239.951156616211,438.506286621094,226.890075683594,NA
