"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,634.743469238281,336.872985839844,651.452880859375,322.2119140625,670.658935546875,307.515411376953,396.895935058594,315.549530029297,NA
2,628.138000488281,341.219635009766,646.051086425781,326.455688476562,662.291381835938,310.745239257812,396.100616455078,320.325317382812,NA
3,625.005554199219,343.228454589844,642.325012207031,328.892486572266,660.216491699219,311.764404296875,395.876953125,321.968994140625,NA
4,622.605163574219,345.541656494141,639.684387207031,330.975402832031,658.736694335938,312.995361328125,395.96337890625,323.549011230469,NA
5,622.610900878906,345.564605712891,639.63525390625,331.028778076172,658.594970703125,313.013702392578,395.962432861328,323.552154541016,NA
6,621.869201660156,347.207458496094,638.208618164062,333.173553466797,655.767517089844,315.248840332031,395.997497558594,324.872375488281,NA
7,618.918579101562,349.171020507812,636.135620117188,334.639892578125,653.811340332031,318.056091308594,396.176666259766,326.429595947266,NA
8,616.660217285156,351.295471191406,634.924682617188,335.926940917969,652.719665527344,318.738464355469,396.456604003906,328.693237304688,NA
9,616.906311035156,353.975006103516,632.948852539062,336.380279541016,651.579528808594,320.892242431641,396.079223632812,330.549530029297,NA
10,618.111450195312,359.849731445312,628.106018066406,340.528900146484,641.079711914062,322.937927246094,395.160217285156,331.925109863281,NA
11,617.752624511719,363.026184082031,626.746887207031,345.092071533203,636.032043457031,322.630126953125,393.106475830078,333.833526611328,NA
12,615.356506347656,365.248474121094,626.38720703125,347.84814453125,634.654113769531,323.919036865234,390.742004394531,336.348175048828,NA
13,611.983642578125,369.556213378906,624.950134277344,350.140686035156,634.85009765625,327.035552978516,388.998229980469,339.393646240234,NA
14,609.131591796875,372.581298828125,623.591918945312,354.717590332031,634.614501953125,331.668579101562,387.341033935547,341.392150878906,NA
15,605.895263671875,380.071350097656,619.002380371094,362.543273925781,631.9296875,343.373413085938,384.19873046875,345.781799316406,NA
16,605.771362304688,381.045501708984,618.764953613281,363.493347167969,631.6943359375,344.118225097656,383.177978515625,347.877380371094,NA
17,605.749145507812,381.069030761719,618.757141113281,363.485809326172,631.69140625,344.100891113281,383.153747558594,347.809478759766,NA
18,604.652893066406,382.283569335938,617.964172363281,364.902740478516,631.311645507812,344.530242919922,381.8623046875,350.183990478516,NA
19,601.813110351562,383.367218017578,616.865356445312,366.990356445312,628.977172851562,344.666534423828,381.413177490234,352.067596435547,NA
20,592.2353515625,380.159912109375,615.544921875,371.769287109375,627.456726074219,353.136535644531,380.956024169922,354.41162109375,NA
21,584.856140136719,384.765594482422,604.480529785156,376.801544189453,626.511413574219,365.152954101562,379.291961669922,358.808746337891,NA
22,577.483154296875,390.851104736328,598.603881835938,380.143890380859,620.642578125,368.420989990234,376.60546875,365.818054199219,NA
23,570.385192871094,397.191131591797,591.35546875,385.263092041016,613.011047363281,371.967956542969,374.314575195312,368.732086181641,NA
24,565.159545898438,401.662902832031,584.387145996094,390.419769287109,606.137756347656,374.797454833984,373.451690673828,371.651824951172,NA
25,559.713989257812,405.138519287109,580.197204589844,393.931457519531,602.715087890625,377.43212890625,372.7666015625,374.326538085938,NA
26,557.732971191406,406.532745361328,576.343322753906,396.640411376953,598.159729003906,380.176849365234,372.116790771484,377.160766601562,NA
27,551.810974121094,408.638854980469,571.750244140625,404.152893066406,587.822875976562,388.761474609375,371.388092041016,382.059722900391,NA
28,550.953369140625,407.364593505859,571.641540527344,405.100341796875,589.161987304688,393.780517578125,371.200469970703,382.678802490234,NA
29,550.987670898438,407.379974365234,571.665100097656,405.09619140625,589.203552246094,393.700103759766,371.199829101562,382.678131103516,NA
30,549.392944335938,409.26708984375,570.123168945312,406.640686035156,589.139465332031,398.348266601562,370.387237548828,384.733367919922,NA
31,549.370727539062,409.812133789062,570.290832519531,407.272552490234,589.746398925781,399.013702392578,369.701446533203,385.738952636719,NA
32,549.670104980469,411.678649902344,570.259887695312,408.304748535156,590.354064941406,400.137481689453,369.404418945312,386.613159179688,NA
33,549.658630371094,412.899139404297,571.005310058594,409.474487304688,589.813659667969,400.958190917969,369.449432373047,387.238739013672,NA
34,549.325622558594,411.154022216797,572.69580078125,412.794189453125,589.043518066406,401.222839355469,368.681945800781,386.98828125,NA
35,549.478332519531,401.464630126953,567.923156738281,413.081207275391,589.10498046875,409.722015380859,368.646606445312,387.660919189453,NA
36,548.745666503906,397.486907958984,565.548461914062,410.379180908203,587.2861328125,417.893463134766,369.953765869141,388.153350830078,NA
37,549.708801269531,395.0908203125,564.28271484375,408.3046875,583.7060546875,421.649841308594,370.598297119141,388.092498779297,NA
38,550.856323242188,392.719177246094,565.958984375,407.667572021484,584.289733886719,423.677734375,371.023223876953,387.523254394531,NA
39,551.90966796875,389.152679443359,569.213256835938,404.034545898438,586.702453613281,421.623352050781,372.662292480469,385.681274414062,NA
40,551.341674804688,388.767425537109,569.216979980469,401.776153564453,585.430908203125,416.920257568359,373.171844482422,384.876922607422,NA
41,551.286010742188,388.844085693359,569.162902832031,401.819213867188,585.3857421875,416.953460693359,373.22021484375,384.849517822266,NA
