"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,567.891967773438,129.755584716797,584.242980957031,132.089370727539,601.631469726562,130.608535766602,435.807495117188,154.439483642578,NA
2,567.354370117188,129.832061767578,583.5888671875,132.123443603516,601.132995605469,130.790679931641,436.016510009766,154.421813964844,NA
3,439.783599853516,155.638641357422,436.174255371094,154.010559082031,440.630310058594,156.022308349609,434.134582519531,153.280563354492,NA
4,565.786987304688,130.482940673828,578.295959472656,129.659255981445,592.681579589844,127.138549804688,435.070434570312,153.80647277832,NA
5,568.42333984375,133.217147827148,578.380920410156,127.977653503418,589.707824707031,128.423919677734,439.270965576172,153.294677734375,NA
6,569.835571289062,139.009841918945,586.916137695312,134.468963623047,596.75634765625,128.437683105469,440.949188232422,157.682586669922,NA
7,568.757446289062,137.318618774414,588.578735351562,136.902297973633,603.936279296875,129.592697143555,444.484436035156,160.3037109375,NA
8,572.451354980469,143.173400878906,588.651489257812,135.264724731445,604.789855957031,129.819808959961,446.344451904297,159.703842163086,NA
9,570.837097167969,144.745483398438,587.878051757812,139.157165527344,602.276794433594,130.4033203125,448.414733886719,161.361389160156,NA
10,565.527893066406,143.147644042969,585.915954589844,143.902923583984,602.522644042969,136.828994750977,450.61474609375,161.283020019531,NA
11,568.042724609375,144.927825927734,585.815551757812,141.737548828125,603.488159179688,139.830581665039,454.320739746094,162.109298706055,NA
12,569.994079589844,150.4208984375,585.334167480469,144.02734375,599.12890625,137.454544067383,456.491821289062,163.670272827148,NA
13,571.075134277344,152.208618164062,587.30126953125,146.986862182617,602.945678710938,136.834014892578,456.991973876953,165.670013427734,NA
14,570.871215820312,152.341735839844,587.137268066406,147.019424438477,602.862243652344,136.751159667969,456.991058349609,165.673919677734,NA
15,571.046569824219,152.925521850586,589.631896972656,149.043563842773,606.685424804688,140.888381958008,458.716674804688,166.60676574707,NA
16,459.598205566406,157.261642456055,586.055725097656,150.583099365234,459.190063476562,154.872253417969,458.769256591797,167.755493164062,NA
17,458.582183837891,157.882232666016,456.420959472656,170.066314697266,446.136779785156,170.655059814453,457.1787109375,168.788772583008,NA
18,457.334228515625,169.279098510742,455.258575439453,169.887725830078,445.824340820312,170.530258178711,455.987976074219,168.464385986328,NA
19,458.201171875,157.51545715332,455.260833740234,169.827377319336,445.809356689453,170.558822631836,456.095703125,168.353103637695,NA
20,446.736663818359,168.772552490234,455.553741455078,171.276672363281,445.998016357422,170.567504882812,456.109649658203,170.16325378418,NA
21,569.350158691406,150.966918945312,585.591064453125,147.656051635742,599.693298339844,143.767105102539,453.275512695312,169.972305297852,NA
22,567.586120605469,147.619735717773,587.170593261719,150.793975830078,603.278747558594,142.781051635742,452.460998535156,168.790649414062,NA
23,567.061645507812,137.109024047852,579.297973632812,147.501693725586,597.054870605469,150.713073730469,451.554321289062,166.357406616211,NA
24,577.191162109375,140.872451782227,589.734924316406,144.149490356445,599.947814941406,152.950302124023,452.112335205078,169.790328979492,NA
25,576.546203613281,139.756546020508,594.91552734375,139.579986572266,606.10400390625,150.756469726562,449.152313232422,167.145278930664,NA
26,576.656005859375,139.849426269531,594.799987792969,139.560485839844,605.946350097656,150.737579345703,449.140380859375,167.144088745117,NA
27,443.440856933594,153.802993774414,449.597198486328,166.289672851562,608.521362304688,155.715545654297,448.169708251953,165.604553222656,NA
28,593.812927246094,121.582679748535,604.139709472656,129.614044189453,610.724182128906,141.964492797852,446.471160888672,159.634948730469,NA
29,588.3271484375,120.61434173584,599.584899902344,129.524978637695,617.608276367188,139.583724975586,444.169616699219,158.026245117188,NA
30,583.158386230469,121.247673034668,598.608154296875,128.898513793945,621.064758300781,135.791091918945,441.620391845703,156.434509277344,NA
31,583.185852050781,121.218559265137,598.443969726562,128.350708007812,624.08837890625,138.751770019531,440.878021240234,156.32878112793,NA
32,614.741394042969,131.343734741211,600.664916992188,134.519653320312,587.442749023438,128.534210205078,442.561645507812,157.889190673828,NA
33,593.095397949219,144.653503417969,605.367614746094,136.67887878418,616.932250976562,129.775939941406,443.258117675781,158.907287597656,NA
34,588.551818847656,146.683853149414,604.329772949219,140.004699707031,614.315551757812,127.54256439209,445.172546386719,160.719848632812,NA
35,579.261596679688,148.350814819336,598.851806640625,144.571655273438,613.813598632812,135.746688842773,448.335693359375,163.817977905273,NA
36,574.123840332031,151.559585571289,590.631591796875,145.913543701172,608.286315917969,137.437896728516,452.139373779297,166.765518188477,NA
37,572.557495117188,153.160781860352,588.19140625,148.196243286133,604.105041503906,139.878768920898,455.256439208984,169.747039794922,NA
38,572.533569335938,153.086837768555,588.174133300781,148.064529418945,604.034790039062,139.760482788086,455.223510742188,169.74040222168,NA
39,570.508666992188,154.269241333008,586.619140625,150.152313232422,600.568481445312,140.602508544922,456.558074951172,170.985549926758,NA
40,571.640197753906,154.815521240234,591.555480957031,157.297897338867,599.474182128906,144.256561279297,456.489196777344,171.009948730469,NA
41,567.491455078125,150.621231079102,586.067016601562,159.288436889648,604.503234863281,153.495269775391,458.044189453125,173.401092529297,NA
42,603.63671875,158.670669555664,583.95849609375,161.9697265625,606.214172363281,158.444122314453,457.867156982422,173.606109619141,NA
43,448.181488037109,170.103149414062,458.98828125,175.90007019043,458.645324707031,169.23258972168,457.835601806641,174.640472412109,NA
44,566.679443359375,152.486831665039,582.127319335938,163.548645019531,603.737426757812,158.031646728516,457.454376220703,175.242370605469,NA
